Type,"Attachments (Downloadable, Expand)",Category,Full Prompt,ID
"Midjourney 🎨 green screen, Person",metricsmule_a_breathtaking_instagram_model_24_years_old_blond_5a3b353d-005c-40a2-8c21-3b86440c383b_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/qMV6NR9BChptGhmODEXAOQ/K0aGehPcMPAm0fpV2iHQTuHB8tgEJc4fqymU6xPYcDuZXk85cGGIr867UbOUxeVE8U5U8cja7TobmIs0zw1B55xI-aHqBadIMClB1TzBE3JWZu143DCwswqONaekvd-KDGAwtF1vaPNCbQ0oxRWziQwm0_1cuDeReSV_3s7qUihSA80OrGfuKOFkN5821j2AdlEx6BfYOuACLcXSFEpFK_rDA9k58CPuVK3ZcerlT3fk6d0gWNbHAzKmZI5i5R4Bnr0Q8vgh6YQFo5SHS_o2Ag/CndBiKMf0_JKAKtLum-BNqGPUNGkDPGep0AF6Zb5H8Y),Midjourney,"a breathtaking instagram model, 24 years old, blonde hair, big beautiful bright blue eyes, solid white background. The woman has an iPhone with a green screen in one hand and she is showing it to the camera, shot on a Canon EOS R5",926
"Midjourney 🎨 Logo, Icons",metricsmule_iPhone_app_style_collection_of_the_most_popular_s_23e841df-34d3-4ad2-862b-fff2b604bd12_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/8BZlvE6UxEPOZE3B924WvA/bLr98-K69aWm-47TZu1mx_9Wp6ToAMmt1RVTGu-a0Uke-A1BzQmTGhUF4cCzmcF7-nF4ORAqKt5e4DF4OYNbRqNfk8id-eiB7M1M93lY_VjCbUvOPGP5PVpEf10O9TpRPhxOLYzoMcqTmfVRKvMCccykSyKfj7A-qWKm0aPNv6NSGY4e7l0_r-Fd_6bzat4dSBnkJRyhyeR8tp7tPcslaUGtd8l9nrkIN0AOGmNVDJNwrTmpB1UdpLiGKqznyyIXKDec8r5PXhziY3wEyAANsg/X6aQZWODcZBgWSqXgXptcF0h3aJPWb4pGIGWBrJdrkY),Midjourney,"iPhone app style collection of the most popular social media icons, white background, clean look, photorealistic style, peaceful and gradient colors",925
"Midjourney 🎨 , Editorial",metricsmule_Close-up_of_a_model_with_blonde_hair_in_the_style_8da7a04c-bbbd-4b01-a015-c81925d7b63e_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/AToKECi1Yxh8ZlnyZj5VTA/hHlIo_Hrtad1aRENLTYsVlS9CBLltBCBk3Wg5HPPGPUsCTlSFFa8ZjM6UP26JsMnwCnIJCy7a0GpEOZyR53wbHaV0M0D5UMWQqTJIR5oECmA1F40pMI-IG_1m6e4UCUAUKyYTS44aNAbcNgmwyTZdXWTnbgRHJIPUesJk-WvSZgD7mDbKx59OLMmMVeOat84heyORal3vqXFPjvCkTbxOmKHb8GiRU2y_iEIJoDLrXZViBWG5ZAlUseHQyy_2f2XhPjFPq7OOXs7PNB6xFI7iw/aEAvm9rnjkkXehMqFJ8rFLGhqi5HrQmVXaXbCUyiE60),Midjourney,"Close-up of a model with blonde hair in the style of Tom Ford fashion, ultra realistic photograph",924
"Midjourney 🎨 , ",metricsmule_Cinematic_still_of_a_woman_standing_in_a_cyberpun_20ffc858-daa8-47a3-80f6-02ba793e9b9b_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/AT2sxO7VTahihyU8Ae3YUQ/bHjWzeFGvSPYXHRYtw3MJu3QWkI549475u8AINvl7ReKXsEPuuR6sv2yPjv4DLJZtr76CZFDOZPwg76JlVmNQ5AEBRNRBrL5ybs5rHbdZfiZej06JQrEI8OvrPpZCuDPAjAT3wkvnXiH4NT_-k7yPz8gmOLHt3LQV0ojCzSWGNqN-kjZqeu2KCIZ-Ai9zsn1vxpTh_qkUHbg-FgW4fTpdIr0M0f-h_r6jT2THj792tMh8psmQ5WznyMjskOhV0zQq6GslRT5_J6IKYesnB03-Q/r7euieR2y9GkAS516bsxvYLcAuW1jKl3yqJpFZeC_PM),Midjourney,"Cinematic still of a woman standing in a cyberpunk world outside, wearing a black fitness outfit, emulate a Krasnogorsk-3, Kodak Super 8, Insta360 ONE R, Agfa Movexoom",923
"Midjourney 🎨 Person, Editorial",metricsmule_CAPTURE_A_STUNNING_EDITORIAL_PHOTOSHOOT_OF_A_BEAU_00192d86-b5b0-49f5-9187-13d263e8d4fd_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/HZ43KoDzBVdyPPEIVlwUTw/afKh5rwaUQCLjP-jIHwqKKfw_P2bXGSnV-CUXNVFzLU5VXojlNTGmQrrDi8s5cAwD1PrmYMypTsYVXHCLID4Sr1ME5zPweu54BEi137Dyd54fotOO7ZLyw5PyM1TQDaDFeJwRk0MjDJaH9GO-gL8BtcIqje7e8kGK0v5pbqSB2PPgS-ZySyUZo-44vrjdtrRkwl0S87dO51U_PD6bCr_Lt0N8mbuTighQb8rH0vkwicJaNpR0NVktU0S1CzrutWObvxLrOZAAX8wImkZek93eQ/2yefr9C7zet8rNupu4SmvfhCxM27eyQpDV8RXNIwi9o),Midjourney,"AN EXTREMELY BEAUTIFUL WOMAN IN AN EDITORIAL STYLE PHOTOSHOOT FOR VOGUE MAGAZINE, CAPTURED WITH A CANON EOS 1DX MARK lll AND A CANON ES 85mm f 1.2 L LENS WITH SOFT LIGHTING AND A LUXURIOUS BACKDROP",921
"Midjourney 🎨 , Editorial",metricsmule_CAPTURE_A_STUNNING_EDITORIAL_PHOTOSHOOT_OF_A_BEAU_00192d86-b5b0-49f5-9187-13d263e8d4fd_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/fdUNv8bdyszPgagJz_T0PQ/cCEjB-gyY35trjh34WrAe0kuu648mn8x0JjRhuhiorvW2RdjNOA6EjxQKwhQHnZml7Ki4PRlfJ49q9QJs5_Ot-_sUCOgbwxqDNGFpmGQx9jdt1n2FTd-IonEBKq7Jstr1THtC9qHnY-noPjar9_yj5RQr3imQ17MSzKY5xraCncEqhJbpp7HrODMKfqP3sRDhEYdJ0k6ZpCcwzJIfcVaLOyt8a6ocjhbXxc3uthKBy8HpOuuuDpuE0kxw8-v8M7wQdurImuriOr_peqXx18rgA/GUxpoM_DKPARzcuvrSMpIAiuwBEvEdGvpgrAyvzavtY),Midjourney,"CAPTURE A STUNNING EDITORIAL PHOTOSHOOT OF A BEAUTIFUL WOMAN UTILIZING THE ARRI ALEXA 65 UNPARALLELED RESOLUTION AND DYNAMIC RANGE, THE SCENE SHOULD FEATURE DRAMATIC LIGHTING AND LUXURIOUS TEXTURES, HIGHLIGHTING THE MODEL’S ELEGANCE AND THE RICH DETAIL OF HAUTE COUTURE FASHION AGAINST A BACKDROP OF OPULENT DECOR",920
"Midjourney 🎨 futuristic, Cyberpunk, Video Game",metricsmule_CREATE_AN_FPV_STYLE_CYBERPUNK_FLY-THROUGH_SHOWCAS_59171b6f-533c-4bae-8e45-56c543d3049c_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/LfkSzAZMaYlO1SkD6ZuCSw/McYFESS2jmzobvwaEoIess92yt0Aett5adys93_is67EHfbOkYuEeEhNpYCCS_n5L3y3sNDc7ZttOCi3L8A0PZHxw11NaPwXRgOQJRxl95KTf_N-qgjbvlU8YbEanRLdv9LMldU-_zh9A8iUejiv_sxayKpujtwQPQCzrgI89miwiFYAJh2pKLPhaK_27WT1TgIXUuY-MK56kafjkVTzTJ1NsW8td5mngcZbVrVS9csQU87WRR1RcDiKXwY-n4TPHhsKFfOSwJc0i2XhmihHuw/3bW3Fo6LmzF21ll2MPyCPmkb7Lcp9f3n8mvTt01Kadw),Midjourney,"CREATE AN FPV STYLE CYBERPUNK FLY-THROUGH SHOWCASING A SUPERCAR DRIVING AT HYPERSPEED THROUGH A NEON-LIT METROPOLIS, THE CAMERA, A RED KOMODO, SWEEPS DYNAMICALLY AROUND SKYSCRAPERS, ZOOMS PAST HOLOGRAPHIC BILLBOARDS, AND WEAVES THROUGH BUSTLING STREETS, CAPTURING THE VIBRANT ENGERGY AND FUTURISTIC AESTHETICS OF THE CITY.",919
"Midjourney 🎨 Person, Photorealistic","metricsmule_a_breathtaking_instagram_model_24_years_old_blond_ced57d8c-5c05-4179-86dd-0c2cc14c22ca_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/LhapGj5b-BlSCeveAJDvPQ/CCoXbF0VsCKxcLfqlVpOX_DcbaOJ8CpuqsiyPLWvhOZdtvUdywFL8Pgsjg3PHrUkaxuSVH5_ej6cFsUoq2dnN1MHNTwbRLdoDzmj9C2MiHF8_5yZq4_SeROCVw92-6MbtK1wLqVd9VGXCk3KuohVF8zR7nPGmuO6ms4iAZ3YB0YPzZGtZz0htzaiN28H_rKUu2JHg96rTvSSnfhDR4M3Q85BoCEynTr-W4o6x82avdCW0scte9y9d3c3JTCgB8cWV2rXUF0tjXLfFHFHbcXlsQ/gKS1d26BMgrz6dGz5rd8x9RVliqxVWLj69PqbHqugQs),metricsmule_a_breathtaking_instagram_model_24_years_old_blond_ced57d8c-5c05-4179-86dd-0c2cc14c22ca_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/yK2e7vkdBJGFeg_2OblO_A/eB0gMb-IvISqsoCRYRZalXLPaoMHZoRv805cYZtIgWT832vwVk_EwRhRXKEDrYQd5-YF9QHsjd6YCBpP8NrvZOQ4fYbkCq1g9Nb8aSlDyyvTbYjzaJBVEoNei63T62Byi07TZoKJBB_9MD7hsX1PlUrdPfS4W5AfKIGFpeSNIsh1hhEgyVPIAPMoNB1P2W__zypmzZV5WAeKWPhAkSP-hhIhkUYeee35pu1VcDJCyOH-IdgIJGMLv4i_jGqoZgkniOSXP6JHVGzM0oz_aq6_EQ/Gpa8IiZuzUJPVPGZbsSUUgfe_XYxdrf1KNtfvMZVmG0),metricsmule_a_breathtaking_instagram_model_24_years_old_blond_ced57d8c-5c05-4179-86dd-0c2cc14c22ca_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/J5RUyeUTrhgRLdxKAoYB-A/YBWQoRwltlha0TLdJlQdhTTaXEHuLwSFOqrMwrQv5-3DV-0XxtWSLPQAnLQyvTytOBTYs9Rq3l3e4DT4xvj2DBN7BZmQMlC5sUUDEVHov78A6wwI6yms_ClXLku9yrKItJRO4Uwz_wjpiPq6DeLq_A4tx1xvOrqPhSdOw2aACrWVZkVW1pW4sPmgsKncMwy9ALwfQC3BVXEBFgoRfVTNddRNxFWBt4vYGbQBYlsL50WWPq_jnJ0hwBkGBlca16Z6TqxXjnfWFASdLGIZtXocQA/RXnQAPSzhOSjRoV4BZ1aFyYujMabjJz-3-qnyCq0HWE)",Midjourney,"a breathtaking instagram model, 24 years old, blonde hair, big beautiful bright blue eyes, wearing a black yoga outfit, shot on an iPhone 16 Pro Max --style raw",918
"Midjourney 🎨 Person, Photorealistic","metricsmule_a_breathtaking_instagram_model_24_years_old_blond_ed84c473-df26-4ced-8e80-db3e9c0cceb6_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/aYz48HahjKvNzmbYIomayQ/73ehR3pkaiMDXoX9Woh_bn4tHKtrX-4gW6kQoQmGaZSrHp37n23RUmbQXGwe8G_V_9sC-XGtDVdMCQR7KVEI4kd0GNm631OY023qca_3kLbNE5Tr29rpSS8JoShkXcT0-YGJC3zoKt7RW2BtNBxncr_9QGByOOTeBe3371uvMobyWfiXYGk2A3mwKyVuYaEPvJIKkAdwBbEB4s2qvy0AwhxHpn_keMWpGDdPh-q4DlM7kumXKDSbz8lnkMiMD-rQ5sDV7HCQ7Zc9FexGuTPCHA/I66OgMvl8x24MeFpt40KVxzK5FyMshAZ16sK8_pxSq8),metricsmule_a_breathtaking_instagram_model_24_years_old_blond_ed84c473-df26-4ced-8e80-db3e9c0cceb6_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/qiVB2YCqzgHXOPADCJzO0g/i9F3bfCTi9xCeFCM6bN5pXJAIHrud0_ml3l4D4TfDGK4rq1t3TdRHNgj6l3T6soQ3h865JKs9rYVq2msH0hyUVPYE1H7vGoIb0ikhfUjzcI0uWKPT5znvwc6tHm0xtYY7UgcapvatjubRQZQXHsznt4J-hjxC_ZaT1oVtZiCRHFWynhp2dcMbBlT8wRkzXNqM_Mv6SA9T7T-xiWop4liWTYr57b9DQO4k_LREQFkx0kc9ueWIL5XvLPJYAk1w3_KZUF4zXENNZBYZKNHbX3CZw/km9UwTwJNEp-vDQLvH6HUm-ogwclC5q89Bt_lWaXD-Q)",Midjourney,"a breathtaking instagram model, 24 years old, blonde hair, big beautiful bright blue eyes, wearing black yoga outfit, Photographed using a Leica SL2 camera with a Summicron-SL 50mm f/2 lens --style raw",917
"Midjourney 🎨 gradient, Logo","metricsmule_iPhone_app_copy_icon_white_background_clean_look__9c428a26-e16e-4925-8d21-8a2b48f0d374_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/Dg_VGI_xELKKajFc8XVJIw/jvr0KGM1IHfJrUrCmup4THUmHRlxYAbGjIHV_s6OjUMozBRaezBhfZP6YFIn24oZUvNl14z1OUR1eMvHzIGFe2Z1HDpU328slJ0C6GKF5RHbqiNoNGhIKu7_4LaUgP41Kb6b_wUOBJ6ITmss7nO0pgN7kJLH8p1Joqgb5xTV0EcMs_KYlsaa_ZZTOh13P9FPxoONTLEwWNUYVbmYFej6mUa2RUttByEbnw2D9PpQiFP0j92wPC-E8gN45Smb8aA0vU4sEcrFdY7aMauz-8-C2g/QOU1E_edvIf7f9p7abyY5rNmpVw5ByOBpTXPvCaD2X0),metricsmule_iPhone_app_copy_icon_white_background_clean_look__9c428a26-e16e-4925-8d21-8a2b48f0d374_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/TTByXdQ5W2LWvxq0LqKyGQ/JXU47fkd3mebzZB83_HhGD1RPeoX6Zs5uqpQbJHlyXOqzll0MitRPpYnmj2cy8egyoz8livRx6dMVZUrVimviLQlBOqGximTejSsnk0-aLzjZ7jfqrtm2qc_EahvmvaZZT81BJw5wbFRefTRXGY4thaeoWBRNpyvw0ctOvhLgTHpBu_GJXIm63IwgtbHIuZ8VMCrqh5XGJyPzabxvpfVg9m-aFhhXDpkFK8K2bVd9qQiBMJgdRnFxFALgejuG9NX6fTJjYriDv7pImzDDGewZw/3xaHyfpwlne2sVAmwvwd8b9znjo6ym3sjo8OoAlvcLg)",Midjourney,"iPhone app copy icon, white background, clean look, photorealistic style, peaceful and gradient colors",916
"Midjourney 🎨 Person, Cinematic",metricsmule_Breathtaking_Landscapes_through_the_Lens_of_a_Son_7872b714-49a9-4653-bc66-2d2ca59e878c_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/FHfV_QyNenAXpqZdgBtf5g/ZpLQKFkJhSiahwsKJjfs4P8Cq_u0kKcvxAXdzB4h-n2yottubCrQFIYXM1xTYhvv6YhJ0fJQZuGg8wg7RVOY5aiHFTsRHLiXmHVIaanGVSIiNLPRI61RlaztTGEHn15zqXe26wltjn-bN2sPJOcLfGltV7MQDGfLAPZPc3vPD-ebB1NYct-3AKJctyvDOKIW4qi3zH1xbeZMBvtUd5JbYYMoxcJuWi6rZhfKp6pB36fdgTSjRqJDhL4wp-VEaSxuH5GvekK0p8Mb81A8XonuKg/MdUb_UIcLyweJZMmZY_bXNbS9ldNWoy6fJlyxpTdnB4),Midjourney,"Breathtaking Landscapes through the Lens of a Sony A7R IV: Capture the grandeur of nature in rich detail with the Sony A7R IV's 61MP sensor. Showcase towering mountain peaks bathed in golden hour light, or a serene lakeside scene reflecting the dramatic skies above. This high-resolution powerhouse lets you preserve every nuanced texture and vibrant color, immersing the viewer in the awe-inspiring beauty of the great outdoors",912
"Midjourney 🎨 Person, Cinematic, Editorial",metricsmule_A_stunning_portrait_of_a_bride_and_groom_standing_b4064df5-d0d2-4ed7-be5a-f7f39ff0d7f1_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/xog_qHyEKeO9jJk1fh7QUA/lfs61aBm5cDneZ8e9hhSai_Va8VbASU6nloH4PUD1ymIc8EztusUEvJhSW5VKmLaJfxVfxSLiTEUakkSZPUyhrQXa2qGWjt_B6e5VCu7XF5vNfe3DM1HOU8E_WMq9GJuTNP7589kzHnFRrvaZ3r0M3wJO5NfhXDiLwXB6IMeYbeH9qk264ipEUdv0SM2Qa2h9oo5g9E0j6zP-FtR2jshC4HY3IHTvWofHZg8Wfmct-M8Kj3yjTstPBzJkvc9f7ajErDSGpyj3mCN5CgDXUdBZw/IajXjD1r0gbXVymx6DwtzFj0mFgEQhxkub8QtavqRhA),Midjourney,"A stunning portrait of a bride and groom standing in a vibrant meadow during sunset, captured with a Canon EOS 5D Mark IV. The image features soft bokeh in the background, with wildflowers fading into a creamy blur, while the couple’s faces are pin-sharp and bathed in golden-hour light. The bride’s veil flows in the gentle breeze, highlighted by intricate lace details. Every color--from the groom’s dark suit to the fiery orange and purple tones of the sky--is rendered with lifelike clarity, showcasing the camera’s exceptional dynamic range and vibrant color reproduction",913
"Midjourney 🎨 Person, Cinematic, Editorial",metricsmule_Extremely_beautiful_woman_editorial_Vogue_magazin_5f32a479-962e-498c-be62-6e07b8e474d8_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/vrP52wagFrRJAEtN1BkaqQ/8F1KhmmEYTapP367Jf26_na0fEiFB3acORXAFifzf_JiTnwfG4GQ_MCmGUtEGdqtXqbeJfO3LWSRz74Va3yPmqV9_4ZgK44FsJ518VfVrdHMV2BV2U9Gj4jAwJCz2MWA-Hyz07II5riYF05SNn-thNVo9KbJiQXsTQz9c63Pq65orH9MRdLGqHUu06SnH7dd0ghuCXJc_SY8FCA-L81_94gGAHa2n70k-Pv91_CXa15QYjbVVFDOXk8UJX0plyAsYeH8rGaD8UFhc3kzhwdm7g/oHH8NFVBHjgMI27O8YOKmgXCl3HqpXup7gua1ogXrjs),Midjourney,"Extremely beautiful woman, editorial, Vogue magazine cover photoshoot, Shot using a Leica Summilux-M 35mm f/1.4 ASPH lens",911
"Midjourney 🎨 Print, Product",metricsmule_3d_render_movie_poster_superhero_characters_Galax_7015a5fb-b03c-433b-9f87-b837c14fc2f5_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/PgHz2JnAT6g-nCD1IuCS9g/LINcr3SaPYLdIvhdIZ3SseJUQgzHsHz-HEjVTNAe6gRo3nSg4NyOc3U-EZfGnsaey8isgqBGaMBNOOdj3rNR9y7fQtl0Mqmi68WYYKy8i8fLPh7kNSQAAVO18r4QL7QalQaejLn9lspnGvNdxSCy3V8VVtGpez35uqtxMIlZCjyPeWb-lEd-2-Q4OELH86wZk3iuFx_vNpZZ9xvN4GnVw9zQl0oDUCQhFlFytUEnE5pjTYGy6ThBsoilfQEzfHg-sN1ujWeLSAqYOaWS6PhBFA/glrbfi6LQPFAdoVQ7gH_5tn3WNcypu0dW9EtGGLVmoo),Midjourney,"3d render, movie poster, superhero characters, Galaxy print",910
"Midjourney 🎨 Photorealistic, Animated, Fantasy, Video Game","metricsmule_Sonic_and_Mario_in_the_style_of_surreal_fantasy_r_5fff859f-a4c6-4930-9194-31e8ebaac4f6_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/BodB85qTGvgxGVKwFg9pBQ/ZvPl-qI46OUnsPXr10JmiBaO7P4ZGT_d_PbTntXs2_GI--OiTz68QDILAh_jJmUCkLm0qb-HpOHFmOw-xISXTpD21AVoE0MNHWwshOs_TOszWzi5BqkIgPDVSLQ7jMGGxKtya6mA60MRHeTMMzKSjEVbBpkzv4oS4BEBXNAJkV5vyodDZNEnd_1XlPg_xqYxlBULM-7CnU_qtOZlp1cWFkJGY9uf1qdZyn24b9FEtD4L-133SoZchAGojXZ9vV-KWYzT-bimzORwVrxYbpfcvA/ZjZLwpf53jQYbAkgSyG-ou1s1mhB528r4f6aqBtpNAI),metricsmule_Sonic_and_Mario_in_the_style_of_surreal_fantasy_r_5fff859f-a4c6-4930-9194-31e8ebaac4f6_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/BkabaMGVXydtIKaPimUgbg/wDcRsBiuhNXMVuceKEnSwCCqEf1QcKjxp65Zcl8dncomm-UKKKZ0xEqthIfcQHWEPGpK3e-zK053FpEPJNWBxa3b9seTQxdi5awCV2SFVR5Q43ecN4-fI6MO_UCgDxCKaMXoxGxHfBnXxatC4xJp8YHp-ATBIUgQVj6OXSiEVwHD5RgHKqyroJkV39BArAhwmLdccVaYOizQxw3dK0F6AUYOYUW3bTvGTYOOHVKShlyUzBXqNsc6GgD68vFWhyPpDul_p7CDlkQPe7KCbmvlNg/kE5Gn9sc2K8TaeNeu-XueNlPBcIeLIDZmLZ7_unMJsU),metricsmule_Sonic_and_Mario_in_the_style_of_surreal_fantasy_r_5fff859f-a4c6-4930-9194-31e8ebaac4f6_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/3m5cgfhLIse8Rsfg_QfHXg/PGZOiG2LUNecMP_QEn3m9JUS3Ldk3IfgqtIAE6l93pBVM5Eeq76s4z1WSJBbFlgeunVqxzUbfvC9UgPjqxQPc3WymYjNFbHhZ7Xunx1kPhJSJyZJjiZIgksJcitPdai_YaghZo9r0Gd_wFKo1LPs5GKUnt00kLANWC-goo5crWuIn91OHGMTuDMJ0ErvlR6qqcc0PMxnSGgBPffS3aKsxijSLIwXrznceCA3s_Nh35lfroDtY3rNJCzflX7Rt_OoR74Pz_B8_10_rN1qYNyRcg/y4aENO9sx157MhQ4D9F3_FOC7dNDxseZ__sfyRwb5O8)",Midjourney,"Sonic and Mario, in the style of surreal fantasy realism. The setting is warm and inviting, with intricate textures on facades, colorful background objects, and reflections of soft, glowing light. The colors are rich and earthy, complemented by vivid highlights and dynamic interplay of light and shadow. Every element feels purposeful, creating a cinematic balance of the ordinary and extraordinary.",909
"Midjourney 🎨 Person, Cinematic, Editorial","metricsmule_Extremely_beautiful_woman_blonde_hair_big_beautif_7d12008e-4dc3-4cac-a228-0116d6a30214_2.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/WGeN-aE3RQkss3Ht9xftMQ/TFKB0oB3vBhHUTfu6Oid2NK97Sx7FYTP-mV_fqO06ZCiAPPOaAqHSxh1aP0WPyHeRv4D4s2dQ4LTpXv8Q7bzi-FRma7Vx_--JXJ2STzJSolJ2oXG4GMX-XTYAMaEuyNTFdojQZTXSOxxND0RoPqrR-v1N2Gh1hUvJLhZXthTjLoPqSyfTli_SIdEx7h03WqqR0p2lacfSRvr_9C_36sXSE42V4s7gQM4-5BmQ2zYLxEPwftNv3sgt2UtIR-tiwcnDejzSyaZxziaoYGA-NoiqA/20Y4EGXxWlUimr8J8lADHrroAhQ38MrHMM_fZFTmnZc),metricsmule_Extremely_beautiful_woman_blonde_hair_big_beautif_7d12008e-4dc3-4cac-a228-0116d6a30214_1.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/H8Lu3TvfwEqwFfqzC9jkDA/3FAlsHlFdB9uZyQDUr44b84ZZ6JavzIF4UaM_HloP6wu9nLOjuuIENIQbwxCY2VZNEtuzOctec5EJ0LE5HQl0lvA2m5YSEjc-NwRcOzNGl9sA_dP-yzdQFDRV8STJJUuWi1MKeKcr3YFaoK2qc1bv1as8aieqizeku-MA4E43XWz0FFt2rNKg4K-a7oyXkvv5-EgJxcxqH05IQyKVZ-aYuv0IfuY1kbWp9iAIADoFh-0DN8Keon25BkDzY9P39lahuH8HdlkfVP3rb3zs7qwXw/EBiQgCWYPRDajWtFq-Si-EvCaE-9cCy8lR1L2D94cWA)",Midjourney,"Extremely beautiful woman, blonde hair, big beautiful bright blue eyes, editorial, Vogue magazine cover photoshoot, Shot using a Leica Summilux-M 35mm f/1.4 ASPH lens",908
"Midjourney 🎨 , ",metricsmule_A_highly_detailed_studio_portrait_of_a_graceful_b_6b438504-ad79-4315-b082-0227b89e9d1d_0.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/drA7OEV4RZlZiUBsrvifBQ/h8gXZtiVfnXCAKWMHEJqzhgwKaBVCYGNFXNfhKQmenLbMQEaQ00xVXsdSU2CSFOjNkR6bTkaVNkeOcgSNHcrsP5K7D9yW89FVo8BBReWTtGwSM9Tw_B5xUvnjoSolD2lJNaw2r4KsvkHUEq4lFLrUe2D54ymjK8kp2uHQcHMeKvWXGUCkJqNicrD2VF0Z1J2WeScMNIZi8khK-9Bc_mNLxKX0oJhenV7T2Tk5YK1XwSVCqUBUTUCVwN8KHnBOGKXCmTMGK-wh4KO2RqIqpDQag/rfoq5euWhvRAQnO5j4SatsCFs9xAMMuMQEmMWW7xrxc),Midjourney,"A highly detailed studio portrait of a graceful ballet dancer with porcelain-like skin and a soft, elegant expression, captured in stunning 100-megapixel medium format quality. The backdrop is a subtle gradient of warm cream and pastel pink, emphasizing the dancer's delicate poise and intricate tutu fabric. The image features perfect lighting with softbox diffusers, creating gentle shadows and a painterly aesthetic. Rendered with ultra-high resolution, showcasing every fine texture and tone, from the strands of hair to the folds of the tutu. The depth and clarity are unmatched, with true-to-life color rendering and incredible dynamic range, as if taken by a Hasselblad H6D-100c in a professional studio setup",907
"Midjourney 🎨 , ",metricsmule_A_vibrant_cityscape_at_dusk_captured_from_a_rooft_970d97c4-2a41-4444-8f4b-f6a662b18846_3.png (https://v5.airtableusercontent.com/v3/u/54/54/1783296000000/erMPnT4BNYvsvyD5T_7Uxw/D9MT12cxnNtWlgPUvMNNr850IQXkYaOdFgtULBmPJSNMI_bnFlPhJv0vI5uTn-cKSG5MRKLruvXWb1ZIbm-UGkbAF0D0jXKmRCCM_aVxCjjPtVolAR0kVaUkVndwZEAKIk9-C2TxD3mlh2K41CkmVS5Cuk_-51IVdHTCDJBtj-ggkPVkq1VtIsq54CU_qCftQM7ZlI9iAoH9rhifEuIGF6s9GXZN7Nv4PFSEQWqo5trc49lHabqM2p9T3kO3j8950pumZuVGKw9bsNogM-BLUg/6nn6OvRZoSNAGYZ5hKXstaI-Mrn48ei6EYSiLZIj2QI),Midjourney,"A vibrant cityscape at dusk, captured from a rooftop perspective, showcasing the city's skyline with illuminated skyscrapers and bustling streets below. The image is taken using a 48MP main camera with an f/1.78 aperture, highlighting intricate architectural details and dynamic lighting. The scene includes a 120° ultra-wide view, emphasizing the expanse of the urban environment, with a 5x optical zoom focusing on a prominent landmark in the distance. The photograph exhibits rich colors and sharp contrasts, with enhanced clarity in low-light conditions, reflecting the advanced computational photography capabilities of the latest smartphone technology."" This prompt leverages the iPhone 16 Pro Max's camera strengths, emphasizing its high-resolution sensors, wide dynamic range, and low-light performance to generate a detailed and vivid AI-generated image.",906
